ID (empty = will be removed in conversion),Name,Beschreibung,Name,Beschreibung,Thema,Zielgruppe (löschen?),Veröffentlichungsdatum (Date Published),Aktualisierungsdatum (Date Modified),Sprache (ISO 639-1),Website of service,Beschrieben bei (described at URL),Betreut durch (maintained by),Urheber,Verwendet von (used by),Quellcode Repositorium,educationalLevel,Schnittstelle / API Dokumentation,Lizenz,Datenmodell (complies with),Dateiformate,Downloadlink ttl,Downloadlink json,Downloadlink XML,Downloadlink,"DUPLIKATSPALTE (ZUM GENERIEREN, SPÄTER LÖSCHEN)",rawVocab,Type,Schlagworte,Notizen
68,Abschlüsse,"Hochschulabschlüsse, verwendet bei Hochschulkompass.",Degrees,University degrees used by Hochschulkompass.,Abschlüsse,,,,de,,https://www.hochschulkompass.de/,Hochschulrektorenkonferenz,Hochschulkompass,,,Hochschule,,,,,,,,,https://www.hochschulkompass.de/,,http://www.wikidata.org/entity/Q1469892,,
69,Lehramtstypen,"Eine Werteliste für Lehramtstypen, für die die Ressource geeignet ist.",Types of teaching positions,A list of values ​​for the types of teachers the resource is suitable for.,Abschlüsse,,,,de,,http://w3id.org/kim/kmk-vocabs/lehramtstypen/,DINI-AG-KIM,,,,Hochschule,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/dini-ag-kim/kmk-vocabs/refs/heads/main/lehramtstypen.ttl,http://w3id.org/kim/kmk-vocabs/lehramtstypen/index.json,,,http://w3id.org/kim/kmk-vocabs/lehramtstypen/,,http://www.wikidata.org/entity/Q1469893,,
70,Verzeichnis der anerkannten Ausbildungsberufe,Dieses Standardwerk dokumentiert die gültigen Rechtsgrundlagen aller Ausbildungsberufe nach BBiG und HwO. Darüber hinaus enthält es Fortbildungsregelungen sowie bundesrechtliche und landesrechtliche Regelungen zur Ausbildung und Weiterbildung für Berufe im Gesundheits- und Sozialwesen und vieles mehr. Das Verzeichnis wird jährlich aktualisiert.,List of recognized training occupations,"This standard work documents the valid legal basis for all training occupations according to BBiG and HwO. In addition, it contains training regulations as well as federal and state regulations on training and further education for professions in the health and social services and much more. The directory is updated annually.",Abschlüsse,,,,de,,https://www.bibb.de/dienst/publikationen/de/suche?publication_search_result_voe%5Bseries%5D=verzeichnis%20der%20anerkannten%20ausbildungsberufe&publication_search_result_voe%5BentriesPerPage%5D=10&publication_search_result_voe%5Bsorting%5D=newest_desc,Bundesinstitut für Berufsbildung,Bundesinstitut für Berufsbildung (BIBB),,,Ausbildung,,,,,,,,,https://www.bibb.de/dienst/publikationen/de/suche?publication_search_result_voe%5Bseries%5D=verzeichnis%20der%20anerkannten%20ausbildungsberufe&publication_search_result_voe%5BentriesPerPage%5D=10&publication_search_result_voe%5Bsorting%5D=newest_desc,,http://www.wikidata.org/entity/Q1469894,,
71,Beruf / Berufsfeld,Liste von Berufen des Hubs für berufliche Schulen.,Profession/professional field,List of careers from the vocational school hub.,Abschlüsse,,,,de,,https://hubbs.schule/search/mediathek,FWU,HubbS,,,,,,,,,,,,https://hubbs.schule/search/mediathek,,http://www.wikidata.org/entity/Q1469895,,
72,Thema / Trainings,Auflistung von Themen für Weiterbildungstrainigs.,Topic / training,List of topics for further training.,Abschlüsse,,,,de,,https://netzwerkq40.de/learning-nuggets-lernmedien-fuer-ausbilderinnen/,NETZWERK Q 4.0,Netzwerk Q4.0,,,,,,,,,,,,https://netzwerkq40.de/learning-nuggets-lernmedien-fuer-ausbilderinnen/,,http://www.wikidata.org/entity/Q1469896,,
73,Abschluss,Eine Wertelliste für schulische und Hochschulabschlüsse. Entstanden im Kontext des OpenEduHub.,Diploma,A list of values ​​for school and university degrees. Created in the context of the OpenEduHub.,Abschlüsse,,,,de,,http://w3id.org/openeduhub/vocabs/graduation/,WirLernenOnline,,,,Bildungsbereichsübergreifend,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/graduation.ttl,http://w3id.org/openeduhub/vocabs/graduation/index.json,,,http://w3id.org/openeduhub/vocabs/graduation/,,http://www.wikidata.org/entity/Q1469897,,
74,Abschlüsse (European Schoolnet Vocabulary: Ed Level/Degree Earned Values),Liste von Abschlüssen im European Schoolnet.,Degrees (European Schoolnet Vocabulary: Ed Level/Degree Earned Values),List of qualifications on European Schoolnet.,Abschlüsse,,,,de,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,European Schoolnet Vocabulary Bank for Education,,,,,,,SKOS,application/rdf+xml,,,http://europeanschoolnet-vbe.lexaurus.net/vbe/linkeddata/vocab/EUN/EUN.highestEdLevelHighestDegreeValues/topterms.skos,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,,http://www.wikidata.org/entity/Q1469898,,
,ACTFL-Leitlinien zur Sprachbeherrschung ,Keine Beschreibung verfügbar.,ACTFL language fluency guidelines ,No description available.,Sprachen,,,,de,,https://www.actfl.org/educator-resources/actfl-proficiency-guidelines,ACTFL,,,,,,,,,,,,,https://www.actfl.org/educator-resources/actfl-proficiency-guidelines,,http://www.wikidata.org/entity/Q1469899,,nicht frei zugänglich
76,"
ISO 639-1 Sprachthesaurus",Sprachthesaurus gemäß ISO 639-1,"
ISO 639-1 language thesaurus",Language thesaurus according to ISO 639-1,Sprachen,,,,de,,https://voc.uni-ak.ac.at/skosmos/languages/en/page/iso_639_1,Universität für angewandte Kunst Wien,,,,,,,SKOS,"text/turtle, application/ld+json, application/rdf+xml",https://voc.uni-ak.ac.at/skosmos/rest/v1/languages/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fportfolio%2Flanguages%2Fiso_639_1&format=text/turtle,https://voc.uni-ak.ac.at/skosmos/rest/v1/languages/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fportfolio%2Flanguages%2Fiso_639_1&format=application/ld%2Bjson,https://voc.uni-ak.ac.at/skosmos/rest/v1/languages/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fportfolio%2Flanguages%2Fiso_639_1&format=application/rdf%2Bxml,,https://voc.uni-ak.ac.at/skosmos/languages/en/page/iso_639_1,,http://www.wikidata.org/entity/Q1469900,,SKOSMOS
77,Sprachen (MARC),"Die MARC-Liste für Sprachen enthält dreistellige, klein geschriebene Buchstabenfolgen, die als Bezeichner für Sprachen und Sprachgruppen dienen. Die Codes basieren in der Regel auf den ersten drei Buchstaben der englischen Form oder, in einigen Fällen, der landessprachlichen Form des entsprechenden Sprachnamens. Die Codes werden bei Bedarf variiert, um Konflikte zu lösen, und sind nicht als Abkürzungen für einen Sprachnamen gedacht. Wenn der Name einer Sprache in der Liste geändert wird, wird der ursprüngliche Code im Allgemeinen beibehalten. Die Codes in dieser Liste entsprechen den Codes der ISO 639-2 (bibliografische Codes) und einigen Codes der ISO 639-5, auch wenn die Bezeichnungen der Sprachnamen unterschiedlich sein können. Sie sind mit den entsprechenden Codes in ISO 639-2 und ISO 639-5 und den entsprechenden zweistelligen Codes in ISO 639-1 verknüpft. Die Liste enthält über 480 diskrete Codes. Sie ist auch durchsuchbar unter: MARC-Code-Liste für Sprachen.",Languages ​​(MARC),"The MARC list of languages ​​contains three-character, lowercase letter sequences that serve as identifiers for languages ​​and language groups. The codes are usually based on the first three letters of the English form or, in some cases, the vernacular form of the corresponding language name. The codes are varied as necessary to resolve conflicts and are not intended as abbreviations for a language name. Generally, when the name of a language in the list is changed, the original code is retained. The codes in this list correspond to the ISO 639-2 codes (bibliographic codes) and some ISO 639-5 codes, although the language name names may be different. They are linked to the corresponding codes in ISO 639-2 and ISO 639-5 and the corresponding two-digit codes in ISO 639-1. The list contains over 480 discrete codes. It is also searchable at: MARC code list for languages.",Sprachen,,,,de,,http://id.loc.gov/vocabulary/languages,Library of Congress,,,,,,,,,,,,,http://id.loc.gov/vocabulary/languages,,http://www.wikidata.org/entity/Q1469901,,
78,Sprachen ISO 639-1,"ISO 639-1 ist der erste Teil der internationalen ISO 639-Sprachcodefamilie. ISO 639-1 enthält zweistellige, klein geschriebene Buchstabenfolgen, die zur Identifizierung von Sprachen dienen. Die Liste enthält etwa 180 diskrete Codes. Für alle ISO 639-1-Sprachen gibt es auch ISO 639-2-Codes mit drei Zeichen. Diese Codes sind mit den Codes für dieselben Sprachen in ISO 639-2 und den MARC Language Codes verknüpft.",Languages ​​ISO 639-1,"ISO 639-1 is the first part of the international ISO 639 language code family. ISO 639-1 contains two-character, lowercase letter sequences that are used to identify languages. The list contains about 180 discrete codes. There are also three-character ISO 639-2 codes for all ISO 639-1 languages. These codes are linked to the codes for the same languages ​​in ISO 639-2 and the MARC Language Codes.",Sprachen,,,,de,,http://id.loc.gov/vocabulary/iso639-1,Library of Congress,,,,,,,,,,,,,http://id.loc.gov/vocabulary/iso639-1,,http://www.wikidata.org/entity/Q1469902,,
79,Sprachen ISO 639-2,"ISO 639-2 ist Teil der ISO 639-Sprachcodefamilie, die auch einen zweistelligen Codesatz (ISO 639-1) für die Darstellung von Sprachnamen enthält. ISO 639-2 enthält Codes für alle in ISO 639-1 enthaltenen Sprachen und mehrere hundert weitere Sprachen. Die Codes von ISO 639-2 (Bibliografie) wurden für die Verwendung in bibliografischen Metadaten entwickelt, z. B. für Bibliotheken, Informationsdienste und Verlage, während ISO 639-2 (Terminologie) auf Terminologie, Lexikografie und linguistische Anwendungen ausgerichtet ist. Die Listen sind identisch, mit Ausnahme von 20 Sprachen, die unterschiedliche bibliographische und terminologische Codes haben. Die Liste enthält über 500 diskrete Codes. Die ISO 639-2 (bibliographischen) Codes entsprechen den MARC-Sprachcodes. Die ISO 639-2-Codes sind mit zweistelligen Codes für dieselbe Sprache in ISO 639-1, mit den MARC-Sprachcodes und mit entsprechenden Codes für Sprachgruppen in ISO 639-5 verknüpft.",Languages ​​ISO 639-2,"ISO 639-2 is part of the ISO 639 language code family, which also includes a two-character code set (ISO 639-1) for representing language names. ISO 639-2 contains codes for all languages ​​included in ISO 639-1 and several hundred additional languages. The ISO 639-2 (Bibliography) codes were developed for use in bibliographic metadata, e.g. B. for libraries, information services and publishers, while ISO 639-2 (Terminology) is aimed at terminology, lexicography and linguistic applications. The lists are identical, except for 20 languages ​​that have different bibliographic and terminological codes. The list contains over 500 discrete codes. The ISO 639-2 (bibliographic) codes correspond to the MARC language codes. The ISO 639-2 codes are linked to two-digit codes for the same language in ISO 639-1, to the MARC language codes, and to corresponding language group codes in ISO 639-5.",Sprachen,,,,de,,http://id.loc.gov/vocabulary/iso639-2,Library of Congress,,,,,,,,,,,,,http://id.loc.gov/vocabulary/iso639-2,,http://www.wikidata.org/entity/Q1469903,,
80,Sprachen ISO 6395,"ISO 639-5 enthält dreistellige klein geschriebene Buchstabenfolgen, die als Bezeichner für die Darstellung von Namen lebender und ausgestorbener Sprachfamilien und Sprachgruppen dienen. Die Liste enthält über 100 diskrete Codes. Die Codes in dieser Liste umfassen alle Codes für Sprachgruppen im MARC-Sprachcodeschema und über 40 weitere Gruppen. Die Codes sind mit den entsprechenden Codes in der MARC-Sprachcodeliste und in ISO 639-2 verknüpft.",Languages ​​ISO 6395,ISO 639-5 contains three-character lowercase letter sequences that serve as identifiers for representing names of living and extinct language families and language groups. The list contains over 100 discrete codes. The codes in this list include all language group codes in the MARC language code scheme and over 40 other groups. The codes are linked to the corresponding codes in the MARC language code list and in ISO 639-2.,Sprachen,,,,de,,http://id.loc.gov/vocabulary/iso639-5,Library of Congress,,,,,,,,,,,,,http://id.loc.gov/vocabulary/iso639-5,,http://www.wikidata.org/entity/Q1469904,,
81,Zielgruppe,Das LRMI Audience Role Vocabulary definiert die primären oder beabsichtigten Rollen des Publikums (Nutznießers) der beschriebenen Ressource. Es dient der Bereitstellung von Werten für die Eigenschaft lrmi educationalRole.,Target group,The LRMI Audience Role Vocabulary defines the primary or intended roles of the audience (beneficiaries) of the resource being described. It is used to provide values ​​for the lrmi educationalRole property.,Zielgruppen,,,,de,,https://www.dublincore.org/specifications/lrmi/concept_schemes/educationalAudienceRole/,Learning Resource Metadata Initiative,LRMI,,,,,,SKOS,text/turtle,https://www.dublincore.org/vocabs/educationalAudienceRole.ttl,,,,https://www.dublincore.org/specifications/lrmi/concept_schemes/educationalAudienceRole/,,http://www.wikidata.org/entity/Q1469905,,
,Zielgruppe,Keine Beschreibung verfügbar.,Target group,No description available.,Zielgruppen,,,,de,,,LOM,LOM,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1469906,,
83,Zielgruppe,"Eine Werteliste für Rollen, für die die Ressource erstellt wurde. Entstanden im Kontext des OpenEduHub.",Target group,A list of values ​​for roles for which the resource was created. Created in the context of the OpenEduHub.,Zielgruppen,,,,de,,http://w3id.org/openeduhub/vocabs/intendedEndUserRole/,WirLernenOnline,,,,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/intendedEndUserRole.ttl,http://w3id.org/openeduhub/vocabs/intendedEndUserRole/index.json,,,http://w3id.org/openeduhub/vocabs/intendedEndUserRole/,,http://www.wikidata.org/entity/Q1469907,,
84,"Zielgruppe (EUN Target Groups,)",Werteliste von Zielgruppen des Eurpean Schoolnet.,Target group (EUN Target Groups),Value list of target groups of the Eurpean Schoolnet.,Zielgruppen,,,,de,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,European Schoolnet Vocabulary Bank for Education,,,,,,,SKOS,application/rdf+xml,,,http://europeanschoolnet-vbe.lexaurus.net/vbe/linkeddata/vocab/EUN/EUN.targetGroupsValues/topterms.skos,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,,http://www.wikidata.org/entity/Q1469908,,
85,"Library of Congress (intended Audience),","Benutzerkategorie, für die der Inhalt einer Ressource bestimmt ist oder für die der Inhalt als geeignet angesehen wird.","Library of Congress (intended audience),",Category of users for whom the content of a resource is intended or for whom the content is considered appropriate.,Zielgruppen,,,,de,,http://id.loc.gov/vocabulary/maudience,Library of Congress,,,,,,,,,,,,,http://id.loc.gov/vocabulary/maudience,,http://www.wikidata.org/entity/Q1469909,,
86,Zielgruppen,Rollen die bei Schulflix verwendet werden.,Target groups,Roles used at Schulflix.,Zielgruppen,,,,de,,https://www.schulflix.com/kurskatalog/,Schulflix,Schulflix,,,,,,,,,,,,https://www.schulflix.com/kurskatalog/,,http://www.wikidata.org/entity/Q1469910,,
87,Personengruppen,"Eine Werteliste für Zielgruppen als Lernende, für welche die Ressource konzipiert wurde.",Groups of people,A list of values ​​for the target group of learners for whom the resource was designed.,Zielgruppen,,,,de,,https://w3id.org/comein/vocabs/educationalAudienceRole/,Come In,ComeIn,,,,,,SKOS,application/json,,https://comein-nrw.github.io/vocabs/w3id.org/comein/vocabs/educationalAudienceRole/index.json,,,https://w3id.org/comein/vocabs/educationalAudienceRole/,,http://www.wikidata.org/entity/Q1469911,,
88,Personengruppen,"Eine Werteliste für die Zielgruppen von Bildungsangeboten, wie sie im BIRD Referenzprojekt angelegt wurde.",Groups of people,"A list of values ​​for the target groups of educational offers, as created in the BIRD reference project.",Zielgruppen,,,,de,,http://w3id.org/openeduhub/vocabs/intendedEndUserRole_BIRD/,WirLernenOnline,BIRD,,,,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/intendedEndUserRole_BIRD.ttl,http://w3id.org/openeduhub/vocabs/intendedEndUserRole_BIRD/index.json,,,http://w3id.org/openeduhub/vocabs/intendedEndUserRole_BIRD/,,http://www.wikidata.org/entity/Q1469912,,
89,Zielgruppe,Zielgruppen Vokabular im hochschuldidaktischen Kontext,Target group,Target group vocabulary in a university didactic context,Zielgruppen,,,,de,,https://padlet.com/justushenke/erweitertes-amb-ycqitnb3y80hkvw1,???,,,https://hof-halle-wittenberg.github.io/vocabs/audience/,,,,,,,,,,https://padlet.com/justushenke/erweitertes-amb-ycqitnb3y80hkvw1,,http://www.wikidata.org/entity/Q1469913,,
90,Werte bei OERCommons,Zielgruppen bei OER Commons.,Values ​​at OERCommons,Target groups at OER Commons.,Didaktische Kontextualisierung,,,,de,,https://oercommons.org/browse,OER Commons,,,,,,,,,,,,,https://oercommons.org/browse,,http://www.wikidata.org/entity/Q1469914,,
,LRT LOM,Keine Beschreibung verfügbar.,LRT LOM,No description available.,"""Ressourcentyp, Medientyp""",,,,de,,,IEEE,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1469915,,
,LRT LOM-DE,Keine Beschreibung verfügbar.,LRT LOM-DE,No description available.,"""Ressourcentyp, Medientyp""",,,,de,,,FWU,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1469916,,
93, Hochschulcampus Ressourcentypen (HCRT),"Eine Wertelliste für Typen von Lernressourcen (Learning Resource Type), entstanden im Kontext des Metadatenschemas ""LOM for Higher Education OER Repositories"" (https://w3id.org/dini-ag-kim/hs-oer-lom-profil/latest/).", College Campus Resource Types (HCRT),"A value list for types of learning resources (Learning Resource Type), created in the context of the metadata schema ""LOM for Higher Education OER Repositories"" (https://w3id.org/dini-ag-kim/hs-oer-lom-profil/latest/).","""Ressourcentyp, Medientyp""",,,,de,,https://w3id.org/kim/hcrt/scheme,DINI-AG-KIM,,"AMB, HS-OER-LOM",,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/dini-ag-kim/hcrt/refs/heads/master/hcrt.ttl,https://w3id.org/kim/hcrt/scheme.json,,,https://w3id.org/kim/hcrt/scheme,,http://www.wikidata.org/entity/Q1469917,,
94,Medienarten / Medienklassifikation EAF,Liste von Medienarten der AG MuD.,Media types / media classification EAF,List of media types from AG MuD.,"""Ressourcentyp, Medientyp""",,,,de,,http://agmud.de/eaf-erweitertes-austauschformat/,FWU,,EAF,,,,,,,,,,,http://agmud.de/eaf-erweitertes-austauschformat/,,http://www.wikidata.org/entity/Q1469918,,
95,Neuer LRT,Umfassende Zusammenstellung von Ressourcentypen. Entstanden im Kontext des OpenEduHub.,New LRT,Comprehensive collection of resource types. Created in the context of the OpenEduHub.,"""Ressourcentyp, Medientyp""",,,,de,,http://w3id.org/openeduhub/vocabs/new_lrt/,WirLernenOnline,WirLernenOnline,,,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/new_lrt.ttl,http://w3id.org/openeduhub/vocabs/new_lrt/index.json,,,http://w3id.org/openeduhub/vocabs/new_lrt/,,http://www.wikidata.org/entity/Q1469919,,
96,"""Alter"" LRT",Liste von Ressourcentypen. Entstanden im Kontext des OpenEduHub.,“Old” LRT,List of resource types. Created in the context of the OpenEduHub.,"""Ressourcentyp, Medientyp""",,,,de,,http://w3id.org/openeduhub/vocabs/learningResourceType/,WirLernenOnline,,,,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/learningResourceType.ttl,http://w3id.org/openeduhub/vocabs/learningResourceType/index.json,,,http://w3id.org/openeduhub/vocabs/learningResourceType/,,http://www.wikidata.org/entity/Q1469920,,
97,Typ der Lernressource (SODIX) alt,"Eine Wertelliste für Typen von Lernressourcen, wie er im SODIX content hub zum Einsatz kommt. Geordnete Liste, der vorherrschende Typ zuerst.",Type of learning resource (SODIX) old,"A list of values ​​for types of learning resources as used in the SODIX content hub. Ordered list, predominant type first.","""Ressourcentyp, Medientyp""",,,,de,,https://vocabs.sodix.de/sodix/educational/learningresourcetype/learningresourcetype,SODIX,SODIX,,,,,,SKOS,application/json,,https://vocabs.sodix.de/sodix/educational/learningresourcetype/learningresourcetype.json,,,https://vocabs.sodix.de/sodix/educational/learningresourcetype/learningresourcetype,,http://www.wikidata.org/entity/Q1469921,,
,Typ der Lernressource (SODIX-NEW),Keine Beschreibung verfügbar.,Type of learning resource (SODIX-NEW),No description available.,"""Ressourcentyp, Medientyp""",,,,de,,https://vocabs.sodix.de/lernressourcentyp_NEU/,SODIX,SODIX,,,,,,,,,,,,https://vocabs.sodix.de/lernressourcentyp_NEU/,,http://www.wikidata.org/entity/Q1469922,,
,Type (DCMI),Keine Beschreibung verfügbar.,Type (DCMI),No description available.,"""Ressourcentyp, Medientyp""",,,,de,,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#DCMIType,DCMI,DCMI,,,,,,,,,,,,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#DCMIType,,http://www.wikidata.org/entity/Q1469923,,
100,Learning Resource Type,"Ein kontrolliertes Vokabular, das verschiedene Arten von Lernressourcen bezeichnet. Eine solche Ressource hat ein oder mehrere physische oder digitiale Repräsentationen und beinhaltet, spezifiziert oder bedingt eine Lernaktivität or Lernerfahrung.",Learning Resource Type,"A controlled vocabulary denoting different types of learning resources. Such a resource has one or more physical or digital representations and includes, specifies or conditions a learning activity or learning experience.","""Ressourcentyp, Medientyp""",,,,de,,http://purl.org/dcx/lrmi-vocabs/learningResourceType/,Learning Resource Metadata Initiative,LRMI,,https://github.com/dcmi/lrmi/tree/b1b223693d4c5122e9fd015c21b52349a7c58427/lrmi_vocabs/learningResourceType,,,,SKOS,text/turtle,https://www.dublincore.org/vocabs/learningResourceType.ttl,,,,http://purl.org/dcx/lrmi-vocabs/learningResourceType/,,http://www.wikidata.org/entity/Q1469924,,
101,resourceTypeGeneral,Ressourcentypen gemäß des Datacite Schemas.,resourceTypeGeneral,Resource types according to the Datacite schema.,"""Ressourcentyp, Medientyp""",,,,de,,https://schema.datacite.org/meta/kernel-4.4/doc/DataCite-MetadataKernel_v4.4.pdf,DataCite Metadata Working Group,Datacite,,,,,,,application/pdf,,,,https://schema.datacite.org/meta/kernel-4.4/doc/DataCite-MetadataKernel_v4.4.pdf,https://schema.datacite.org/meta/kernel-4.4/doc/DataCite-MetadataKernel_v4.4.pdf,,http://www.wikidata.org/entity/Q1469925,,
102,Dgital Media Type,Der Medien- oder Dateityp der digitalen Ressource basiert auf den von der Internet Assigned Numbers Authority (AINA) unter http://www.iana.org/assignments/media-types definierten Medientypen.,Digital Media Type,The media or file type of the digital resource is based on the media types defined by the Internet Assigned Numbers Authority (AINA) at http://www.iana.org/assignments/media-types.,"""Ressourcentyp, Medientyp""",,,,de,,https://ceds.ed.gov/element/001397,Common Education Data Standards,Common Education Data Standard,,,,,,,,,,,,https://ceds.ed.gov/element/001397,,http://www.wikidata.org/entity/Q1469926,,
103,Physical Media Type,"Eine Art physischer Datenträger, auf dem die Lernressource bereitgestellt oder verfügbar ist.",Physical Media Type,A type of physical storage medium on which the learning resource is provided or available.,"""Ressourcentyp, Medientyp""",,,,de,,https://ceds.ed.gov/element/001401,Common Education Data Standards,Common Education Data Standard,,,,,,,,,,,,https://ceds.ed.gov/element/001401,,http://www.wikidata.org/entity/Q1469927,,
104,Educational Use,Der Zweck der Arbeit im Kontext der Bildung.Der Zweck der Arbeit im Kontext der Bildung.,Educational use,The purpose of work in the context of education.The purpose of work in the context of education.,"""Ressourcentyp, Medientyp""",,,,de,,https://ceds.ed.gov/element/001002,Common Education Data Standards,Common Education Data Standard,,,,,,,,,,,,https://ceds.ed.gov/element/001002,,http://www.wikidata.org/entity/Q1469928,,
105,Materialtypen,Eine Wertelliste für Materialtypen.,Material types,A value list for material types.,"""Ressourcentyp, Medientyp""",,,,de,,https://unterrichtsvideos.github.io/vocabs/w3id.org/unterrichtsvideos.net/vocabs/materialTypes/index.de.html,unterrichtsvideos.net,unterrrichtsvideos.net,,https://github.com/unterrichtsvideos/vocabs,,,,SKOS,application/json,https://raw.githubusercontent.com/unterrichtsvideos/vocabs/refs/heads/main/materialTypes.ttl,https://unterrichtsvideos.github.io/vocabs/w3id.org/unterrichtsvideos.net/vocabs/materialTypes/index.json,,,https://unterrichtsvideos.github.io/vocabs/w3id.org/unterrichtsvideos.net/vocabs/materialTypes/index.de.html,,http://www.wikidata.org/entity/Q1469929,,
106,Videotypen,Eine Wertelliste für Videoarten.,Video Types,A value list for video types.,"""Ressourcentyp, Medientyp""",,,,de,,https://w3id.org/unterrichtsvideos.net/vocabs/videoTypes/,unterrichtsvideos.net,unterrrichtsvideos.net,,https://github.com/unterrichtsvideos/vocabs,,,,SKOS,application/json,https://raw.githubusercontent.com/unterrichtsvideos/vocabs/refs/heads/main/videoTypes.ttl,https://unterrichtsvideos.github.io/vocabs/w3id.org/unterrichtsvideos.net/vocabs/videoTypes/index.json,,,https://unterrichtsvideos.github.io/vocabs/w3id.org/unterrichtsvideos.net/vocabs/videoTypes/index.de.html,,http://www.wikidata.org/entity/Q1469930,,
107,Medientypen,Werteliste von Medientypen.,Media Types,List of values ​​of media types.,"""Ressourcentyp, Medientyp""",,,,de,,https://w3id.org/orca.nrw/medientypen/,ORCA.nrw,ORCA.nrw,,,,,,SKOS,application/json,,https://skohub.io/orca.nrw/orca-vocabs/heads/main/w3id.org/orca.nrw/medientypen/index.json,,,https://w3id.org/orca.nrw/medientypen/,,http://www.wikidata.org/entity/Q1469931,,
108,Materialtypen,Materialtypen des OER TX Repositories.,Material types,Material types of the OER TX repository.,"""Ressourcentyp, Medientyp""",,,,de,,https://web.archive.org/web/20231211175418/https://oertx-help.highered.texas.gov/support/solutions/articles/42000077612-material-types,OERTX,OERTX,,,,,,,,,,,,https://web.archive.org/web/20231211175418/https://oertx-help.highered.texas.gov/support/solutions/articles/42000077612-material-types,,http://www.wikidata.org/entity/Q1469932,,
109,Materialtypen,Materialtypen des Merlot Repositories.,Material types,Merlot Repository material types.,"""Ressourcentyp, Medientyp""",,,,de,,https://web.archive.org/web/20221203081203/https://info.merlot.org/merlothelp/MERLOT_Collection.htm,Merlot,Merlot,,,,,,,,,,,,https://web.archive.org/web/20221203081203/https://info.merlot.org/merlothelp/MERLOT_Collection.htm,,http://www.wikidata.org/entity/Q1469933,,
110,Output Types,"Dieses Schema enthält CERIF-Vokabularbegriffe, die in den Verknüpfungsentitäten cfResultPublication_Classification, cfResultPatent_Classification, cfResultProduct_Classification, cfEvent_Class anwendbar sind und somit Ausgabetypen darstellen.",Output types,"This schema contains CERIF vocabulary terms applicable in the cfResultPublication_Classification, cfResultPatent_Classification, cfResultProduct_Classification, cfEvent_Class link entities and thus represent output types.","""Ressourcentyp, Medientyp""",,,,de,,https://w3id.org/cerif/vocab/OutputTypes,euroCRIS,euroCRIS,,,,,,,,,,,,https://w3id.org/cerif/vocab/OutputTypes,,http://www.wikidata.org/entity/Q1469934,,
111,Activity Types,Die Arten der Forschungstätigkeit.,Activity Types,The types of research activity.,"""Ressourcentyp, Medientyp""",,,,de,,https://w3id.org/cerif/vocab/ActivityTypes,euroCRIS,euroCRIS,,,,,,,,,,,,https://w3id.org/cerif/vocab/ActivityTypes,,http://www.wikidata.org/entity/Q1469935,,
112,Activity Subtypes,"Die Subtypen einer Aktivität, die für eine spezifischere oder feinere Analyse verwendet werden.",Activity Subtypes,The subtypes of an activity that are used for more specific or granular analysis.,"""Ressourcentyp, Medientyp""",,,,de,,https://w3id.org/cerif/vocab/ActivitySubtypes,euroCRIS,euroCRIS,,,,,,,,,,,,https://w3id.org/cerif/vocab/ActivitySubtypes,,http://www.wikidata.org/entity/Q1469936,,
